"","PROVINCE / LGU","economic_dynamism","government","infrastructure","resiliency","cluster"
"818","Mahatao",2.1799,6.4564,5.9128,11.9794,1
"819","Mahayag",5.9981,8.0636,6.0475,12.7118,2
"820","Mahinog",7.2415,12.122,7.6898,15.286,4
"821","Maigo",4.3402,8.9739,5.4732,13.4486,2
"822","Mainit",4.8659,9.8196,5.9688,13.3337,2
"823","Maitum",4.3821,9.1502,5.6493,13.7815,2
"824","Majayjay",3.8066,8.5704,3.6897,9.4948,3
"825","Makati",9.8496,12.0829,9.4636,15.3189,4
"826","Makato",4.1478,9.4333,5.1266,12.1115,1
"827","Makilala",4.792,9.5625,5.9605,13.6223,2
"828","Malabang",3.7211,5.2882,0.5066,11.5408,3
"829","Malabon",3.4119,9.1112,5.3166,13.965,1
"830","Malabuyoc",5.6275,6.3387,5.9671,13.4691,1
"831","Malalag",4.7967,9.4192,5.5468,13.4488,2
"832","Malangas",4.5802,6.9007,4.769,12.6634,1
"833","Malapatan",4.3958,9.1206,5.7185,14.1085,2
"834","Malasiqui",5.5752,10.6733,5.7074,13.4761,2
"835","Malay",6.0464,9.6855,9.5801,13.0477,4
"836","Malaybalay",6.3428,9.5005,5.5018,12.9557,2
"837","Malibcong",4.4844,9.1251,4.5382,13.6052,1
"838","Malilipot",2.7099,5.8016,1.9706,12.2853,1
"839","Malimono",6.0081,10.2261,6.8133,13.353,2
"840","Malinao (AK)",4.8191,8.9612,5.3736,13.3861,2
"841","Malinao (AY)",2.7274,9.5669,4.9093,13.0843,1
"842","Malita",6.5372,10.2506,5.8705,13.2969,2
"843","Malitbog (BK)",4.3212,6.9877,4.5805,12.6546,1
"844","Malitbog (SL)",4.3924,6.837,3.5397,12.2512,1
"845","Mallig",3.3545,10.225,4.6596,13.4572,1
"846","Malolos",7.005,10.0308,7.7326,13.613,4
"847","Malungon",4.8118,10.0472,6.4787,14.8125,2
"848","Maluso",5.8467,7.5982,4.7384,14.1342,2
"849","Malvar",5.1439,6.8556,5.7393,13.4461,1
"850","Mamasapano",3.4365,9.601,5.3392,11.8225,1
"851","Mambajao",9.506,12.1896,7.2553,14.246,4
"852","Mamburao",3.5595,6.7298,5.5202,12.7866,1
"853","Mambusao",6.3313,6.7748,5.3113,11.9998,1
"854","Manabo",5.5634,9.3521,5.9779,12.805,2
"855","Manaoag",5.0538,9.3742,5.5406,13.4767,2
"856","Manapla",3.6572,6.8903,4.9472,12.089,1
"857","Manay",4.571,9.858,5.3459,12.1587,2
"858","Mandaluyong",4.2886,9.5795,6.0476,13.6712,2
"859","Mandaon",4.9232,7.3346,3.6913,13.503,1
"860","Mandaue",9.657,7.8819,6.8151,14.1529,4
"861","Mangaldan",6.1242,10.5603,5.9105,13.5759,2
"862","Mangatarem",5.0083,10.8507,5.4599,12.9604,2
"863","Mangudadatu",3.6751,5.6871,4.8176,10.3839,3
"864","Manila",8.8802,18.6228,15.553,15.7704,4
"865","Manito",3.6596,8.7022,5.1631,11.2974,1
"866","Manjuyod",4.5628,3.9447,5.045,13.2143,1
"867","Mankayan",4.8121,7.3683,4.7454,12.6311,1
"868","Manolo Fortich",7.2487,9.8101,6.215,12.4777,2
"869","Mansalay",4.0085,6.4757,5.1102,11.0506,1
"870","Manticao",5.0551,8.9406,6.1116,12.1766,2
"871","Manukan",5.5924,8.9573,5.5624,13.3523,2
"872","Mapanas",3.3121,9.9855,2.2238,10.2739,1
"873","Mapandan",4.8815,6.6433,5.6399,12.8254,1
"874","Mapun",3.7723,5.7788,4.2198,11.5014,1
"875","Marabut",4.1767,9.7078,5.8447,9.3096,1
"876","Maragondon",5.6701,7.1829,6.0761,12.1154,2
"877","Maragusan",6.0362,9.5998,6.8548,13.4216,2
"878","Maramag",5.9183,10.643,6.4337,12.236,2
"879","Marantao",2.5553,7.8669,2.6055,13.3395,1
"880","Marawi",3.9272,8.6826,5.5791,12.7106,1
"881","Marcos",4.5541,9.2298,5.3956,12.9431,2
"882","Margosatubig",5.13,9.583,5.5761,12.6454,2
"883","Maria",5.8288,8.0567,5.8441,13.2473,2
"884","Maria Aurora",4.2847,9.3386,4.7445,12.9862,1
"885","Maribojoc",5.9456,9.9744,5.6016,13.423,2
"886","Marihatag",5.3257,8.9581,4.1899,13.4356,2
"887","Marikina",4.4664,8.4513,5.5964,12.0295,1
"888","Marilao",8.6214,9.5329,7.4598,13.2178,4
"889","Maripipi",5.1486,8.3227,5.0121,12.432,1
"890","Mariveles",5.346,10.4067,6.7982,12.1409,2
"891","Marogong",2.5041,1.9535,0.1828,8.1327,3
"892","Masantol",3.5821,9.2057,5.329,13.565,1
"893","Masbate",4.4381,9.4973,6.5135,13.3,2
"894","Masinloc",4.0724,9.3778,5.4305,13.3791,2
"895","Masiu",5.1233,8.5864,2.9714,12.6222,1
"896","Maslog",3.8935,5.6366,4.4067,12.298,1
"897","Mataasnakahoy",6.0599,9.7327,6.1488,12.8603,2
"898","Matag-Ob",5.3795,6.1886,3.6979,13.3076,1
"899","Matalam",3.5305,10.2418,5.985,12.4646,2
"900","Matalom",5.5045,7.1519,5.167,12.5868,1
"901","Matanao",4.5847,9.3401,5.1723,11.9001,1
"902","Matanog",3.6122,8.6472,5.1379,13.1808,1
"903","Mati",4.8128,10.5059,7.4048,13.3943,2
"904","Matnog",4.1776,6.3691,5.1324,11.2957,1
"905","Matuguinao",3.6869,7.0363,4.9313,11.6409,1
"906","Matungao",3.7617,9.3375,5.5307,14.2177,2
"907","Mauban",4.6849,10.3252,5.2517,13.3786,2
"908","Mawab",6.4855,10.3603,6.2097,13.614,2
"909","Mayantoc",3.5021,9.2228,5.2219,13.5052,1
"910","Maydolong",3.8924,6.8954,5.5048,10.5028,1
"911","Mayorga",3.1655,8.8327,2.6338,10.7412,1
"912","Mayoyao",3.9733,6.6928,4.7057,13.4786,1
"913","Medellin",5.2124,8.4895,5.303,13.1766,2
"914","Medina",6.8243,10.6773,6.0531,13.5542,2
"915","Mendez",7.8749,9.7126,8.3548,13.1426,4
"916","Mercedes",3.1081,8.9791,4.6861,15.7185,1
"917","Mercedes (ES)",4.6257,2.5223,1.1907,5.8483,3
"918","Merida",6.0328,8.2331,5.1869,11.9523,2
"919","Mexico",6.8072,9.8792,5.5641,12.1968,2
"920","Meycauayan",6.1847,10.3154,6.9931,13.9006,2
"921","Miag-ao",4.7326,8.9711,5.9349,13.4656,2
"922","Midsalip",5.3543,7.8843,5.0389,13.3477,1
"923","Midsayap",5.8484,11.6678,7.7011,14.0377,4
"924","Milagros",4.1018,4.2231,3.4674,10.8267,3
"925","Milaor",3.0047,6.9647,3.5573,12.2397,1
"926","Mina",6.9175,11.3094,6.2454,13.9228,2
"927","Minalabac",3.4289,8.7508,4.0793,9.4132,3
"928","Minalin",5.0253,8.4529,5.4053,13.5425,2
"929","Minglanilla",6.7442,5.7369,6.306,11.2953,1
"930","Mlang",4.7498,10.396,6.5693,13.5166,2
"931","Moalboal",7.9207,9.5383,5.1302,14.6895,2
"932","Mobo",3.6324,7.4924,4.3068,13.3662,1
"933","Mogpog",5.3822,9.3154,6.3842,12.9277,2
"934","Moises Padilla",4.0829,7.7538,4.1929,13.1779,1
"935","Molave",5.613,9.021,5.5274,12.3429,2
"936","Moncada",2.7806,9.2175,4.7207,12.8613,1
"937","Mondragon",3.6201,7.0108,4.6191,11.5857,1
"938","Monkayo",5.7787,9.7139,6.5353,13.8077,2
"939","Monreal",4.2227,6.3749,3.5751,7.4121,3
"940","Montevista",7.2629,10.9072,6.234,13.9643,2
"941","Morong (BN)",4.043,6.8701,5.688,12.4072,1
"942","Morong (RL)",5.2698,9.7931,6.2203,13.5135,2
"943","Motiong",3.6295,9.4602,4.3843,13.3629,1
"944","Mulanay",4.3809,9.5827,4.9846,13.3336,2
"945","Mulondo",2.7827,4.4596,5.0931,10.0137,3
"946","Munai",4.0285,8.1794,4.6335,12.7552,1
"947","Muntinlupa",5.5238,12.1172,9.6778,20.6845,4
"948","Murcia",3.8707,6.4521,5.1407,12.0455,1
"949","Mutia",6.0547,8.8657,6.791,13.772,2
"950","Naawan",5.0089,9.368,5.9089,12.1401,2
"951","Nabas",6.7045,9.9993,5.1854,13.0406,2
"952","Nabua",2.6394,7.3146,5.4834,12.3934,1
"953","Nabunturan",6.0349,10.4058,7.6117,12.9145,2
"954","Naga (CS)",10.7782,13.1018,13.3748,15.7672,4
"955","Naga (CU)",4.9118,8.3688,6.1073,12.8684,2
"956","Naga (ZS)",5.2035,8.8673,4.5438,12.6309,1
"957","Nagbukel",4.8029,9.8769,5.3787,14.3788,2
"958","Nagcarlan",5.1595,9.0294,5.3087,13.4144,2
"959","Nagtipunan",4.017,9.2445,5.3748,13.4166,2
"960","Naguilian (IA)",4.0053,9.2363,4.6681,13.3735,1
"961","Naguilian (LU)",5.2025,10.1959,5.186,14.0258,2
"962","Naic",5.732,9.1577,6.2861,13.5025,2
"963","Nampicuan",4.8661,9.8765,5.4845,13.4309,2
"964","Narra",5.5298,9.1872,5.7934,13.4771,2
"965","Narvacan",4.4856,9.3921,5.5769,13.3796,2
"966","Nasipit",7.023,9.7969,6.2377,13.7325,2
"967","Nasugbu",5.3286,4.3444,5.8911,11.8993,1
"968","Natividad",4.8123,9.7168,5.2408,14.1207,2
"969","Natonin",4.4001,5.4029,5.0357,10.9859,1
"970","Naujan",4.6427,9.293,5.7459,13.7516,2
"971","Naval",5.4886,8.8479,5.7841,11.5097,2
"972","Navotas",3.2351,8.2709,4.9717,14.5174,1
"973","New Bataan",6.4737,9.5727,5.0624,12.0681,2
"974","New Corella",5.1988,8.2594,5.0227,13.3056,2
"975","New Lucena",5.0181,9.4061,5.2698,12.7464,2
"976","New Washington",5.7069,10.2667,6.588,13.4591,2
"977","Norala",6.2846,10.3785,6.5936,14.0197,2
"978","Northern Kabuntalan",2.9723,8.316,2.815,11.5896,1
"979","Norzagaray",5.5293,9.9386,5.9844,13.4488,2
"980","Noveleta",7.0645,9.3858,6.6001,13.6297,2
"981","Nueva Era",3.9509,8.9131,5.5606,13.6814,2
"982","Nueva Valencia",5.3471,8.5374,6.1053,12.195,2
"983","Numancia",6.2398,10.1278,5.763,11.1768,2
"984","Nunungan",3.0643,6.9892,3.9162,12.5383,1
"985","Oas",2.3901,5.9404,4.9218,13.0645,1
"986","Obando",4.9245,6.505,5.3509,12.128,1
"987","Ocampo",1.8888,4.7708,4.624,11.6833,1
"988","Odiongan",5.4269,10.9705,6.8075,13.4943,2
"989","Olongapo",2.0845,9.2052,4.8647,13.4135,1
"990","Olutanga",4.7246,6.9257,4.6795,11.3168,1
"991","Omar",5.3561,6.2575,2.7139,13.0416,1
"992","Opol",5.1199,9.1319,5.2823,13.3855,2
"993","Orani",4.6508,8.9766,5.6831,12.1044,2
"994","Orion",4.1006,9.2811,5.5774,13.5646,2
"995","Ormoc",8.5981,10.0615,8.6112,13.9761,4
"996","Oroquieta",3.7364,8.4837,6.6243,13.541,2
"997","Oslob",6.1027,7.5189,5.5564,10.8566,1
"998","Oton",5.6419,9.7055,5.5238,13.4968,2
"999","Ozamiz",4.449,6.3595,7.2186,13.8791,1
"1000","Padada",6.1851,9.3262,6.82,13.305,2
"1001","Padre Burgos (QN)",4.153,9.0345,4.776,8.6912,3
"1002","Padre Burgos (SL)",6.233,8.4975,5.3382,12.8569,2
"1003","Padre Garcia",4.2582,7.6514,5.4331,13.0677,1
"1004","Paete",5.6626,8.9825,5.4755,12.6847,2
"1005","Pagadian",7.3418,9.9508,7.4468,12.8471,4
"1006","Pagagawan",2.8189,7.1688,5.1363,12.6652,1
"1007","Pagalungan",2.3875,7.7463,4.1147,11.2182,1
"1008","Pagayawan",3.7501,9.3526,2.4651,13.4673,1
"1009","Pagbilao",5.4937,8.7819,5.3562,13.4599,2
"1010","Paglat",3.7389,9.5159,5.2073,13.5651,1
"1011","Pagsanghan",3.1394,8.9711,4.6516,10.0651,1
"1012","Pagsanjan",6.2104,10.6121,7.2985,14.9709,2
"1013","Pagudpud",6.2294,10.926,6.7069,13.1002,2
"1014","Pakil",6.3312,10.8842,8.2764,12.8883,4
"1015","Palanan",2.3747,7.9795,3.1407,12.1127,1
"1016","Palanas",4.6737,7.0796,4.9502,9.0759,3
"1017","Palapag",4.0551,9.5815,5.6291,12.9737,2
"1018","Palauig",3.9551,6.1598,5.1682,13.3663,1
"1019","Palayan",2.3787,7.5963,4.3939,13.5809,1
"1020","Palimbang",4.6762,7.7259,3.1262,12.3328,1
"1021","Palo",6.397,10.2104,6.3022,13.5925,2
"1022","Palompon",5.3252,8.1036,5.6721,12.7278,2
"1023","Paluan",2.9134,6.3602,3.6294,13.4236,1
"1024","Pambujan",3.3483,6.9093,4.4308,8.3473,3
"1025","Pamplona (CG)",3.8088,8.9879,4.5886,11.2971,1
"1026","Pamplona (CS)",3.0822,9.6391,3.4051,12.43,1
"1027","Pamplona (NR)",6.7433,4.3649,5.2975,12.1445,1
"1028","Panabo",6.5634,10.168,7.8837,14.7089,4
"1029","Panaon",4.7664,9.7331,6.2804,13.3447,2
"1030","Panay",5.8552,9.6897,5.6902,12.3077,2
"1031","Pandag",3.069,6.6689,5.1792,8.854,3
"1032","Pandan (AE)",5.6579,10.3642,5.993,12.8018,2
"1033","Pandan (CT)",3.5458,6.6173,4.7967,13.1713,1
"1034","Pandi",5.0722,8.9436,5.3346,13.4676,2
"1035","Panganiban",3.3975,6.8949,6.1123,12.8478,1
"1036","Pangantucan",4.8086,8.3145,5.4211,13.1416,2
"1037","Pangil",4.4333,9.3879,5.4058,13.5974,2
"1038","Panglao",12.0422,10.4259,8.3557,12.8561,4
"1039","Panglima Sugala",3.7907,8.2613,3.5239,13.336,1
"1040","Paniqui",4.2829,9.3323,5.6664,12.1018,2
"1041","Panitan",4.5817,5.8271,5.6991,11.4382,1
"1042","Pantabangan",3.3336,8.7489,5.0936,13.2926,1
"1043","Pantao Ragat",4.0706,8.7768,5.2517,13.4042,1
"1044","Pantar",3.809,8.6527,4.9129,12.5142,1
"1045","Pantukan",5.5576,10.0513,6.0349,13.3343,2
"1046","Panukulan",4.1158,7.8448,4.316,13.3223,1
"1047","Paoay",5.2008,10.8514,6.1018,14.651,2
"1048","Paombong",5.4003,7.6778,6.1132,12.8744,2
"1049","Paracale",2.9344,7.2088,3.2799,10.7621,3
"1050","Paracelis",4.3553,8.992,4.6991,13.4185,1
"1051","Paranaque",6.1745,9.7065,7.0256,14.0155,2
"1052","Paranas",3.5723,5.9242,5.9072,12.5723,1
"1053","Parang (MA)",3.4372,8.4142,3.6212,12.1175,1
"1054","Pasacao",3.3108,8.5915,3.3719,9.7087,3
"1055","Pasay",13.6291,14.199,10.0948,14.8777,4
"1056","Pasig",9.1926,10.1388,7.5557,14.5967,4
"1057","Pasil",4.617,10.1966,5.0196,13.6459,2
"1058","Passi",4.735,9.3759,6.4074,13.624,2
"1059","Pastrana",4.4111,9.2923,4.9505,9.5118,1
"1060","Pasuquin",5.0673,10.4362,6.1959,13.9651,2
"1061","Pateros",5.0873,6.7228,5.8688,11.7209,1
"1062","Patnanungan",3.833,6.3995,3.9343,10.0863,3
"1063","Patnongon",5.5373,6.7792,6.2876,13.0972,2
"1064","Pavia",5.4491,8.8764,6.607,13.4426,2
"1065","Payao",2.5465,6.2839,0.3986,12.0033,3
"1066","Penablanca",3.4444,8.8925,5.1679,13.8719,1
"1067","Penaranda",3.6558,9.1557,5.4427,13.4471,1
"1068","Penarrubia",5.1559,9.5905,5.4299,12.6825,2
"1069","Perez",4.708,6.1498,4.4169,13.4284,1
"1070","Piagapo",3.4911,9.6421,2.4962,11.5344,1
"1071","Piat",5.4503,9.9043,5.0006,11.6448,2
"1072","Picong",2.5442,6.5628,3.3108,10.647,3
"1073","Piddig",4.9573,9.7935,5.5272,13.5077,2
"1074","Pidigan",6.0134,11.2065,6.1642,12.6453,2
"1075","Pigcawayan",3.6222,9.5856,5.3775,13.3278,1
"1076","Pikit",4.0934,10.6382,6.2417,13.5274,2
"1077","Pila",5.9754,7.6488,6.0944,13.1994,2
"1078","Pilar (AA)",5.3186,9.3383,5.7278,13.9664,2
"1079","Pilar (BL)",5.3499,9.7037,5.6444,13.3911,2
"1080","Pilar (BN)",6.7392,9.7189,5.6305,14.0752,2
"1081","Pilar (CU)",6.6851,6.9121,5.848,11.8949,2
"1082","Pilar (CZ)",4.7753,8.5667,2.8865,13.3049,1
"1083","Pilar (SN)",5.006,9.1455,6.9935,12.396,2
"1084","Pilar (SO)",4.0711,8.7982,5.408,13.3004,1
"1085","Pili",4.3583,9.2159,6.0685,12.5512,2
"1086","Pililla",3.3588,9.7502,5.7723,14.0925,2
"1087","Pinabacdao",3.5346,6.4357,4.4683,11.3495,1
"1088","Pinamalayan",4.6987,10.5725,5.0559,13.4498,2
"1089","Pinamungajan",6.4041,7.2843,5.1049,13.3365,2
"1090","Pinan",5.8753,9.3537,5.5004,13.1865,2
"1091","Pinili",4.2002,9.5923,5.2221,13.1382,2
"1092","Pintuyan",3.1249,5.7307,4.3449,9.306,3
"1093","Pinukpuk",4.2511,9.1137,4.8442,12.7471,1
"1094","Pio Duran",2.3933,4.9178,5.1249,14.3147,1
"1095","Pio V Corpuz",3.6799,7.9435,4.442,12.2865,1
"1096","Pitogo (QN)",5.4373,7.6012,4.2496,13.3527,1
"1097","Pitogo (ZR)",7.6127,8.1278,4.2727,13.5089,2
"1098","Placer (MS)",3.8208,5.6719,3.3674,8.755,3
"1099","Placer (SN)",5.545,7.1682,5.0922,13.3693,1
"1100","Plaridel (BU)",6.165,9.5883,6.6039,13.7174,2
"1101","Plaridel (MC)",6.2703,10.3301,5.838,13.2437,2
"1102","Plaridel (QN)",4.3312,10.2258,4.4808,13.5359,2
"1103","Pola",4.676,7.4688,3.9293,9.9299,3
"1104","Polanco",6.1307,7.6622,5.9133,13.3383,2
"1105","Polangui",3.8112,10.8808,6.124,13.3778,2
"1106","Polillo",4.6352,9.064,5.0404,13.2396,2
"1107","Polomolok",9.1778,10.6413,6.9427,13.5969,4
"1108","Pontevedra (CZ)",5.4605,10.103,5.688,13.2599,2
"1109","Pontevedra (NO)",5.0902,9.4432,5.6267,13.5144,2
"1110","Poona Bayabao",2.5738,8.1949,3.3728,9.8956,3
"1111","Poona Piagapo",3.0159,3.9453,3.124,12.7357,1
"1112","Porac",5.9506,9.691,5.9909,13.3241,2
"1113","Poro",5.8664,9.4901,5.9271,13.2553,2
"1114","Pototan",5.1264,8.7318,5.7356,12.002,2
"1115","Pozorrubio",5.4536,9.9761,5.6332,13.5271,2
"1116","Presentacion",3.1861,9.2054,2.621,12.7386,1
"1117","President Garcia",5.8182,9.9297,3.7158,11.7692,2
"1118","President Quirino",5.2937,9.5474,5.7663,13.5815,2
"1119","President Roxas (CZ)",4.4009,6.8206,4.2768,10.0236,3
"1120","President Roxas (NC)",3.2828,9.5981,5.3208,13.6763,1
"1121","Prieto Diaz",2.7332,5.6442,0.9306,4.6269,3
"1122","Prosperidad",4.9626,9.0392,5.2641,13.2202,2
"1123","Pualas",3.1406,8.4424,2.0405,3.2247,3
"1124","Pudtol",4.3993,9.1142,4.6935,13.3787,1
"1125","Puerto Galera",4.3456,9.3834,5.9151,13.4151,2
"1126","Puerto Princesa",5.1984,10.3548,6.4156,13.7798,2
"1127","Pugo",7.4621,11.2394,6.7275,15.5406,4
"1128","Pulilan",5.9535,9.5404,6.1645,13.8156,2
"1129","Pulupandan",5.1959,7.6267,4.8087,12.5122,1
"1130","Pura",3.2274,9.2006,5.3827,14.6265,1
"1131","Quezon (BK)",5.2126,9.8156,5.8339,13.4868,2
"1132","Quezon (IA)",2.9655,9.1152,5.3203,13.468,1
"1133","Quezon (MM)",11.719,17.4559,13.4213,16.7128,4
"1134","Quezon (NE)",3.7424,9.4707,4.92,12.9313,1
"1135","Quezon (NV)",4.4473,8.5445,3.7656,13.2059,1
"1136","Quezon (PN)",4.4188,8.3225,4.9056,12.1773,1
"1137","Quezon (QN)",4.7999,6.3504,5.4614,13.4941,1
"1138","Quinapondan",5.7938,9.2199,4.8845,11.6603,2
"1139","Quirino (IA)",2.7114,9.8675,3.7439,13.5372,1
"1140","Quirino (IS)",3.5992,8.9744,4.3046,13.1839,1
"1141","R.T. Lim",4.7015,4.0313,4.0079,7.139,3
"1142","Ragay",2.6259,8.1537,5.1449,12.399,1
"1143","Rajah Buayan",3.3705,7.2282,5.527,12.9628,1
"1144","Ramon",3.4292,9.2786,4.7641,13.3087,1
"1145","Ramon Magsaysay",5.7113,9.8678,5.2416,13.4824,2
"1146","Ramos",5.5295,9.3609,6.1754,12.5141,2
"1147","Rapu-Rapu",1.8611,5.6611,3.5296,12.6078,1
"1148","Real",3.8799,8.0924,5.0449,13.3852,1
"1149","Reina Mercedes",3.7448,9.9106,5.7829,13.4983,2
"1150","Remedios T. Romualdez",5.4608,10.3064,7.026,12.9749,2
"1151","Rizal (CG)",3.9659,8.1817,4.3389,14.1976,1
"1152","Rizal (KA)",4.5109,9.2864,5.4295,13.415,2
"1153","Rizal (LA)",5.5791,8.4932,6.2998,13.5406,2
"1154","Rizal (NE)",3.9013,8.1253,3.5616,13.4911,1
"1155","Rizal (OM)",3.8227,9.2658,5.3008,14.087,2
"1156","Rizal (PN)",4.2518,6.6858,4.7165,12.9513,1
"1157","Rizal (ZN)",5.8285,10.2173,5.9215,12.2175,2
"1158","Rodriguez",6.826,9.96,7.9137,13.4837,4
"1159","Romblon",4.8098,10.3787,6.6471,13.583,2
"1160","Ronda",6.5761,9.9574,10.2588,13.7815,4
"1161","Rosales",5.617,9.8912,6.3651,13.4437,2
"1162","Rosario (AS)",4.5741,8.8153,4.3687,13.3066,1
"1163","Rosario (BS)",5.821,10.4425,6.0911,13.433,2
"1164","Rosario (CE)",6.5578,10.3799,7.1826,13.4622,2
"1165","Rosario (LU)",5.5693,10.5652,5.7748,14.7463,2
"1166","Rosario (NS)",2.7687,6.2022,5.2603,10.8384,1
"1167","Roxas (CZ)",6.2116,7.6764,6.7247,11.3476,2
"1168","Roxas (IA)",3.9716,8.7406,5.5873,13.1444,1
"1169","Roxas (OR)",4.9101,10.1835,4.9658,13.3677,2
"1170","Roxas (PN)",4.8181,9.205,5.0653,12.09,2
"1171","Roxas (ZN)",14.1311,12.0364,6.9581,14.4348,4
"1172","Sabangan",4.4968,9.7708,4.7452,13.1697,2
"1173","Sablan",6.2287,9.7732,6.8506,15.1238,2
"1174","Sablayan",4.2908,10.9706,5.7759,13.9083,2
"1175","Sabtang",3.3946,5.9453,5.9326,12.7775,1
"1176","Sadanga",3.8393,7.7025,4.9196,12.1196,1
"1177","Sagada",6.0037,10.8036,5.7828,13.5063,2
"1178","Sagay (CM)",5.8363,11.2178,7.1325,14.6077,2
"1179","Sagay (NO)",3.7575,9.875,5.8381,12.2914,2
"1180","Sagbayan",7.1508,9.6471,5.9286,12.5952,2
"1181","Sagnay",3.3526,7.7164,4.6012,13.3762,1
"1182","Saguday",5.4086,11.3899,5.1754,13.7423,2
"1183","Saguiaran",4.3088,6.9132,3.5297,7.9186,3
"1184","Saint Bernard",4.0626,9.1879,3.6965,12.4298,1
"1185","Salay",5.6632,10.4023,6.0895,13.8333,2
"1186","Salcedo (ES)",6.4417,12.5392,5.1151,13.449,2
"1187","Salcedo (IS)",4.7087,9.1651,4.8811,13.4633,2
"1188","Sallapadan",4.6355,8.4751,5.1019,11.49,1
"1189","Salug",5.9276,8.0463,5.6008,12.3675,2
"1190","Salvador",4.9104,11.3055,4.941,13.4068,2
"1191","Salvador Benedicto",3.7468,9.0291,4.0056,11.3281,1
"1192","Samal",5.834,11.3582,6.0542,12.3581,2
"1193","Samboan",7.084,9.022,5.1829,12.8102,2
"1194","Sampaloc",5.3211,10.573,5.9567,13.5163,2
"1195","San Agustin (IA)",3.3621,8.1931,4.1586,12.9401,1
"1196","San Agustin (RN)",4.4403,10.0121,6.3033,13.5341,2
"1197","San Agustin (SS)",6.0025,8.6971,5.2184,13.2627,2
"1198","San Andres (CT)",3.255,9.2452,5.6656,12.1049,1
"1199","San Andres (QN)",4.449,8.967,4.8098,13.4748,1
"1200","San Andres (RN)",5.1876,6.7253,6.1249,13.8234,1
"1201","San Antonio (NE)",3.3352,11.1264,4.2633,13.4785,2
"1202","San Antonio (NS)",3.4111,5.4777,5.5557,10.9516,1
"1203","San Antonio (QN)",5.2152,10.7951,5.8492,13.6278,2
"1204","San Antonio (ZA)",3.5648,8.7982,4.9034,13.3766,1
"1205","San Benito",4.8077,8.7765,5.6828,13.5809,2
"1206","San Carlos (NO)",4.9837,9.6458,5.9317,11.6938,2
"1207","San Carlos (PS)",4.7726,10.6495,6.2936,13.6673,2
"1208","San Clemente",4.2592,9.609,5.9745,13.2847,2
"1209","San Dionisio",4.5027,9.9945,4.7317,13.2511,2
"1210","San Emilio",3.8973,9.3958,3.7944,13.7469,1
"1211","San Enrique (IO)",5.0815,9.7644,5.6749,13.2184,2
"1212","San Enrique (NO)",4.0317,8.4548,4.8962,11.6763,1
"1213","San Esteban",6.898,11.0893,5.8229,14.0139,2
"1214","San Fabian",4.6319,10.1868,5.1018,13.4536,2
"1215","San Felipe",5.2308,10.2937,5.6119,13.5638,2
"1216","San Fernando (BK)",4.9046,9.8461,5.1652,13.6301,2
"1217","San Fernando (CS)",1.6721,4.9962,1.9237,12.288,3
